date,kappa1,S_nta
2011-01-01,0.09349302878061941,0.11062285212363854
2011-01-02,0.09354273840822558,0.11057045269074928
2011-01-03,0.09357387490097857,0.11054555792404902
2011-01-04,0.09357359682693711,0.11043392510386668
2011-01-05,0.09358289390303745,0.1103669666495199
2011-01-06,0.0935943409863435,0.11028989232172068
2011-01-07,0.09363578954176888,0.11024719294128554
2011-01-08,0.09368839516541236,0.11016210664898357
2011-01-09,0.0937361178337166,0.11008178541147212
2011-01-10,0.0937587874644448,0.10997330570998501
2011-01-11,0.0937642844933263,0.10984052284787199
2011-01-12,0.0938165868046047,0.10978475960365414
2011-01-13,0.093824902595112,0.10965388967079437
2011-01-14,0.09382629872255477,0.10951644136646613
2011-01-15,0.0938424456203748,0.10939892391521847
2011-01-16,0.09385926456369026,0.10928163418013126
2011-01-17,0.09387912413706107,0.10916330850897554
2011-01-18,0.09390652133081584,0.10903861003946813
2011-01-19,0.09392630976014649,0.10889930877919501
2011-01-20,0.09393332135363308,0.10871175460744403
2011-01-21,0.09391161503224282,0.10852256330232007
2011-01-22,0.09394453979848427,0.10842649702210694
2011-01-23,0.09398492075354764,0.10840866713845856
2011-01-24,0.09396990010470241,0.10832850925988438
2011-01-25,0.09395559476585047,0.10822953267662594
2011-01-26,0.09391380523744142,0.10814057925837955
2011-01-27,0.09385449549042824,0.1080288983365546
2011-01-28,0.09378565532518329,0.10792672450988886
2011-01-29,0.09368409841956477,0.10777621229981893
2011-01-30,0.09359638433383027,0.10760814035185165
2011-01-31,0.09345411273158749,0.10737905327492747
2011-02-01,0.09325318101893881,0.10713784019782424
2011-02-02,0.09303315599645284,0.10692086646083329
2011-02-03,0.0927999937587361,0.10665149540933322
2011-02-04,0.09265153985032826,0.1064307984093966
2011-02-05,0.09254696559285763,0.10624044526426271
2011-02-06,0.09246871460069017,0.10607935356080919
2011-02-07,0.09244778569354073,0.10599523706513261
2011-02-08,0.09239152324063521,0.10581613910151799
2011-02-09,0.09233837135742812,0.1056802492087599
2011-02-10,0.09229176712282461,0.10551961349618458
2011-02-11,0.09220738600956468,0.10531860230489429
2011-02-12,0.0921324664999274,0.10512700429124827
2011-02-13,0.09209095291278846,0.10502033111956469
2011-02-14,0.09209344246892237,0.10498991271137526
2011-02-15,0.09205773380690163,0.10493992463628812
2011-02-16,0.09198249115856522,0.10476670085923961
2011-02-17,0.09191527175189268,0.10462915588709479
2011-02-18,0.09188300331737059,0.10454169498611235
2011-02-19,0.09186590000951522,0.10450297136340733
2011-02-20,0.09189048320253057,0.10449555252476059
2011-02-21,0.09195235125992679,0.10459171882037471
2011-02-22,0.09199662197867048,0.10462540800769321
2011-02-23,0.09199741124045074,0.10456126361545387
2011-02-24,0.0919721996324761,0.10445147622612738
2011-02-25,0.09192907750451218,0.1043019943038608
2011-02-26,0.09186552359058481,0.10411070897582472
2011-02-27,0.09182346661491136,0.10396175527434218
2011-02-28,0.09172962157442421,0.10377120089703565
2011-03-01,0.0916119661586689,0.10362219815705179
2011-03-02,0.09149118919888632,0.10350775895985168
2011-03-03,0.09138231907812949,0.10339617686254818
2011-03-04,0.09130613558725248,0.10330316542725829
2011-03-05,0.09121982936309553,0.10316716357651404
2011-03-06,0.09111930259250833,0.1030065616006455
2011-03-07,0.09104857115064036,0.1028938716673532
2011-03-08,0.0910015140140999,0.1028456971743954
2011-03-09,0.09092731928703929,0.10271439579964176
2011-03-10,0.09064344646257633,0.10250104207466681
2011-03-11,0.08715471628220395,0.09963782890100853
2011-03-12,0.0869420321623402,0.09948928980352115
2011-03-13,0.08675402928922049,0.09934404051232396
2011-03-14,0.08656578119681801,0.09918974912833722
2011-03-15,0.08633408153613648,0.09898993929434619
2011-03-16,0.08617576192025345,0.09882619860717937
2011-03-17,0.08604718100286174,0.09867877068543751
2011-03-18,0.08594181366630604,0.09856091016957585
2011-03-19,0.0858539261152223,0.0984656401841505
2011-03-20,0.08579488521183809,0.09839387050098491
2011-03-21,0.08575768824344843,0.09836303224455761
2011-03-22,0.08572335634213141,0.09831416321835174
2011-03-23,0.08571690385562447,0.09829853335917468
2011-03-24,0.0857161153682558,0.09827200977402151
2011-03-25,0.08571564810702703,0.09822707374953052
2011-03-26,0.08572240873285725,0.09819096588822307
2011-03-27,0.0857280799643732,0.0981676927272149
2011-03-28,0.08568817164426029,0.0981205548398767
2011-03-29,0.08563474360366868,0.09805032975973318
2011-03-30,0.08556531336098544,0.09795949674507953
2011-03-31,0.08547648154670628,0.09785573928989094
2011-04-01,0.08540023914790046,0.09777066649825428
2011-04-02,0.08531587570577581,0.09767197827879653
2011-04-03,0.0852458187249589,0.09760703696774475
2011-04-04,0.08518418786555959,0.09755632024607316
2011-04-05,0.08511633451399003,0.09748942543349964
2011-04-06,0.0850654520270267,0.09743577008701873
2011-04-07,0.08499961698295228,0.09736655072350564
2011-04-08,0.08487595626973299,0.09726779515149359
2011-04-09,0.084785103607527,0.09718400936256305
2011-04-10,0.08470730121124465,0.09710138195194071
2011-04-11,0.08463280368992632,0.09701578348917195
2011-04-12,0.08451800705165918,0.0968760409537874
2011-04-13,0.08442245068233145,0.09677219582354366
2011-04-14,0.08435454733321063,0.09668686972579116
2011-04-15,0.08431011336506505,0.09665164621659128
2011-04-16,0.08429892060739885,0.09664881125833724
2011-04-17,0.08430113165362407,0.09665491329739856
2011-04-18,0.0843104374740708,0.09668906370073715
2011-04-19,0.08433082107880535,0.09672727314648816
2011-04-20,0.08434806048278876,0.09674893695933395
2011-04-21,0.08434645898043275,0.09673089568202803
2011-04-22,0.08434592355572462,0.09670179369378035
2011-04-23,0.08434585370614428,0.09671602430034615
2011-04-24,0.08433936258288338,0.0967242507765371
2011-04-25,0.08434217534065247,0.09674080411742705
2011-04-26,0.0843467080349341,0.09675309618974995
2011-04-27,0.08430904033271702,0.0967366447106652
