date,kappa1,S_nta
2011-01-01,0.08174587083444013,0.10477121894035929
2011-01-02,0.081758904060491,0.10473102933407141
2011-01-03,0.08176909117264103,0.10474406258004637
2011-01-04,0.0817731403721143,0.10472322562629027
2011-01-05,0.08173850719162412,0.10465383678558071
2011-01-06,0.08172959505596586,0.10457402874879135
2011-01-07,0.08172229049910393,0.10447806247149238
2011-01-08,0.08171221463961786,0.10439866220884181
2011-01-09,0.08172195974712634,0.1043640776589107
2011-01-10,0.08171990034285814,0.10428306944037607
2011-01-11,0.081733620775054,0.10422816111828381
2011-01-12,0.08176722472747189,0.10419937335259283
2011-01-13,0.08179019913032765,0.10415283792132946
2011-01-14,0.08179360910755087,0.10408742036421709
2011-01-15,0.0818376141353287,0.10404624221750186
2011-01-16,0.08192019827548477,0.10404503260487158
2011-01-17,0.08200003377226686,0.10404006795545567
2011-01-18,0.08208731977344624,0.10405359812876802
2011-01-19,0.08215337412844578,0.10403448099871465
2011-01-20,0.08217517211440542,0.10398056256869653
2011-01-21,0.08216310847744701,0.10390408978902904
2011-01-22,0.08216419432220759,0.10387597555095046
2011-01-23,0.08214345338508455,0.10384484147638157
2011-01-24,0.08211801830757293,0.10380420013735103
2011-01-25,0.08208061002506431,0.10373982701141898
2011-01-26,0.08198190067641298,0.10362382638978346
2011-01-27,0.08191087186415483,0.10352639717369949
2011-01-28,0.08187468925440336,0.10346765596866331
2011-01-29,0.08184392529133677,0.10343358614911963
2011-01-30,0.08180864167925903,0.10337023128172662
2011-01-31,0.08176263713245757,0.10327764236766546
2011-02-01,0.08163759123109371,0.10311985735794438
2011-02-02,0.08144452592329862,0.10294245025734888
2011-02-03,0.08131761512900934,0.10283242666115211
2011-02-04,0.08129243521962562,0.10282965490663498
2011-02-05,0.08128952457238883,0.1027705597209782
2011-02-06,0.08130715619244985,0.10274536228056547
2011-02-07,0.08133518178552554,0.1027206671516892
2011-02-08,0.08133279461717222,0.10265055428408165
2011-02-09,0.08133263415190262,0.10261271487106588
2011-02-10,0.08133414348290438,0.10254700940593026
2011-02-11,0.08134591220162396,0.10245964984057532
2011-02-12,0.08136758658625054,0.10240103453758054
2011-02-13,0.08137667374766983,0.10234681265002105
2011-02-14,0.08141234004037373,0.10234633045669189
2011-02-15,0.08141393614345291,0.10231672206391823
2011-02-16,0.08130759722666858,0.10214824075426088
2011-02-17,0.08122799544590853,0.1020123174979583
2011-02-18,0.08117505151625456,0.10194432969440614
2011-02-19,0.08114738925250847,0.1018884564766111
2011-02-20,0.08118021544339155,0.10190531375204948
2011-02-21,0.08123322254780821,0.10195863435980485
2011-02-22,0.08131278548465726,0.10202613329484572
2011-02-23,0.08137417556155349,0.10203793597725785
2011-02-24,0.0813757154106674,0.10197528869098482
2011-02-25,0.08139283683840828,0.10192894629690102
2011-02-26,0.08139762808599599,0.10188362570857618
2011-02-27,0.08139505764037547,0.10182915078338262
2011-02-28,0.08135380676907386,0.10176675599315504
2011-03-01,0.08126180453310944,0.10169342323282005
2011-03-02,0.08115728557607707,0.10158183484404981
2011-03-03,0.08108254456191255,0.10151174289196274
2011-03-04,0.0810565388304561,0.10149250872486404
2011-03-05,0.08103865227195317,0.10143215171688791
2011-03-06,0.08102927611712424,0.10141006018023102
2011-03-07,0.08103858615118908,0.10141169500482772
2011-03-08,0.0810233563257867,0.10139404853862999
2011-03-09,0.08104044401450614,0.10134563791435769
2011-03-10,0.08167424633199488,0.10086865448623705
2011-03-11,0.08265971141305906,0.09960950769505283
2011-03-12,0.08248077515301336,0.09947758097429177
2011-03-13,0.08232699984162054,0.0993668265535696
2011-03-14,0.0821677552485311,0.09925138066634803
2011-03-15,0.08198148214625325,0.09912421579706554
2011-03-16,0.0818554549382641,0.0990182078142528
2011-03-17,0.08175860034533372,0.09894474732156233
2011-03-18,0.08168190142727644,0.09889985852474831
2011-03-19,0.08163408163529107,0.09887860862406955
2011-03-20,0.08159875436468414,0.09886168801088446
2011-03-21,0.0815730436037303,0.09886390776788084
