date,h2,delta_alpha
2011-01-01,1.130019617739582,2.5621716155416046
2011-01-02,1.1322321391845493,2.4613303969505793
2011-01-03,1.1325428554161252,2.6355263460675147
2011-01-04,1.1399343633026326,2.6085280627386425
2011-01-05,1.150491740396155,2.6172876770001725
2011-01-06,1.1462299969919818,2.5505563193206235
2011-01-07,1.1512765960324913,2.557309201167268
2011-01-08,1.138667334591361,2.55285930139566
2011-01-09,1.1345914421042806,2.4803770359808173
2011-01-10,1.1351647144816785,2.4379701351014997
2011-01-11,1.1389996988557534,2.354099652643285
2011-01-12,1.1516782045376914,2.35685486640139
2011-01-13,1.1640831268783656,2.323389451720182
2011-01-14,1.1602050936575519,2.2767935738288276
2011-01-15,1.163940347977211,2.302115162450578
2011-01-16,1.1503277832702208,2.2324249836234387
2011-01-17,1.146523008514733,2.06840072148046
2011-01-18,1.1462624606610272,2.0558523453220374
2011-01-19,1.1431506939201674,2.2618046843957416
2011-01-20,1.1469577748854805,2.254414335200357
2011-01-21,1.1526644278879263,2.2048821794767584
2011-01-22,1.1441761779283794,2.131308656855822
2011-01-23,1.145151984319734,2.123290179980522
2011-01-24,1.1266105489584433,1.788688275436975
2011-01-25,1.1179157533173159,1.6327455637539394
2011-01-26,1.1137044417311786,1.7422862590318076
2011-01-27,1.1142933135254913,1.3975720790652204
2011-01-28,1.1248597605771276,0.9511826670813406
2011-01-29,1.1389581368205035,0.5015576007523492
2011-01-30,1.1359568379387412,0.583594428846844
2011-01-31,1.141867667812614,0.5622468537981398
2011-02-01,1.1277460365878957,0.49869291025132867
2011-02-02,1.123404245390289,0.5121991365538534
2011-02-03,1.1252933767191187,0.4340588219464685
2011-02-04,1.1191558249291687,0.45608272135225647
2011-02-05,1.1210045946819085,0.6998550307990676
2011-02-06,1.130711482472777,0.6018202221462303
2011-02-07,1.1268332861439616,0.6640903431388097
2011-02-08,1.1367083143227223,0.5953525053106397
2011-02-09,1.1316820666776937,0.5075022484104643
2011-02-10,1.1270018153558599,0.49307740206328887
2011-02-11,1.1312178001329967,0.4044133315380982
2011-02-12,1.1331892519302178,0.38720942782770607
2011-02-13,1.1444696074713232,0.638558284587937
2011-02-14,1.1599569783473471,0.5652333939186747
2011-02-15,1.1565891412356664,0.627390595544643
2011-02-16,1.1639634520066238,0.5527770346956125
2011-02-17,1.159288503668362,0.4466608470116533
2011-02-18,1.1562158413612382,0.4472198995099319
2011-02-19,1.1618050093358199,0.3577170063459043
2011-02-20,1.158472131539641,0.36383546128561406
2011-02-21,1.1621693150547292,0.5913836752265418
2011-02-22,1.1726467745986495,0.4912340309870089
2011-02-23,1.1679752463266726,0.5619865397392978
2011-02-24,1.174608641885692,0.5118316651665005
2011-02-25,1.165126830516034,0.4477957013331917
2011-02-26,1.155316528731712,0.4531907899823544
2011-02-27,1.1566967569536788,0.3745323097763311
2011-02-28,1.1532902782136891,0.3520212974834358
2011-03-01,1.1572890888981757,0.616306752909555
2011-03-02,1.1651509264510944,0.5536257828790063
2011-03-03,1.1552383771093209,0.6224816206479034
2011-03-04,1.1550005702911847,0.5385992011937333
2011-03-05,1.144540403266001,0.4250268133271682
2011-03-06,1.136438862027176,0.41937772307887755
2011-03-07,1.13749869427314,0.33736466610092464
2011-03-08,1.131527116643888,0.3543630090273666
2011-03-09,1.1324856173542228,0.6237584253844197
2011-03-10,1.131566343552825,0.5697434921248039
2011-03-11,1.0903330872298214,0.9244977795306326
2011-03-12,1.090562175306482,0.9321946803834784
2011-03-13,1.0599297792180387,0.9400061245661835
2011-03-14,1.0535339381257358,0.9390488392374152
2011-03-15,1.0695062108036306,0.7892834117511107
2011-03-16,1.089056282471562,0.7344080536795232
2011-03-17,1.1093203420437807,0.9246781453336226
2011-03-18,1.139028479324443,0.6717600965175414
2011-03-19,1.1115616311243082,0.9287552972121169
2011-03-20,1.1210718453535236,0.8340919523188539
2011-03-21,1.0950177087458337,0.7904061813507894
2011-03-22,1.0949594340225148,0.7988067082866337
2011-03-23,1.1110185371661883,0.6739121560530243
2011-03-24,1.1272352580727956,0.6987644350923787
2011-03-25,1.1421525331112492,0.8452298229820663
2011-03-26,1.1720312193959614,0.49554739510143975
2011-03-27,1.1396347713604116,0.7865084552948183
2011-03-28,1.1385609928989855,0.7377091914803415
2011-03-29,1.100931548225677,0.6640702945773853
2011-03-30,1.0894244344952608,0.7677409030356941
2011-03-31,1.0981040634167532,0.6353342641509379
2011-04-01,1.1163586577462272,0.5926655327637818
