date,h2,delta_alpha,kappa1,S_nta
2011-01-01,1.1494561849950296,0.3879363530936537,0.0817458708344401,0.1047712189403592
2011-01-02,1.1545523596411127,0.2800634871594063,0.081758904060491,0.1047310293340714
2011-01-03,1.1561629291921023,0.36233745555437125,0.081769091172641,0.1047440625800463
2011-01-04,1.1632352918814666,0.31385393807297746,0.0817731403721143,0.1047232256262902
2011-01-05,1.1577126541784544,0.2380792825138407,0.0817385071916241,0.1046538367855807
2011-01-06,1.150840949771895,0.37195233379317116,0.0817295950559658,0.1045740287487913
2011-01-07,1.1558882622452047,0.20486592829383454,0.0817222904991039,0.1044780624714923
2011-01-08,1.1438174584224312,0.33349053419141583,0.0817122146396178,0.1043986622088418
2011-01-09,1.1535459537056731,0.382502228924654,0.0817219597471263,0.1043640776589107
2011-01-10,1.15440335943115,0.2738044182927162,0.0817199003428581,0.104283069440376
2011-01-11,1.1567230207708665,0.3618999302032897,0.081733620775054,0.1042281611182838
2011-01-12,1.1693587774623178,0.2679639432066665,0.0817672247274718,0.1041993733525928
2011-01-13,1.1667124049852025,0.20520970517850046,0.0817901991303276,0.1041528379213294
2011-01-14,1.1595641322235637,0.39911302168771456,0.0817936091075508,0.104087420364217
2011-01-15,1.162264582074197,0.2625933088723258,0.0818376141353287,0.1040462422175018
2011-01-16,1.1459602499771373,0.37691642156748273,0.0819201982754847,0.1040450326048715
2011-01-17,1.1529053581491238,0.46177247221495676,0.0820000337722668,0.1040400679554556
2011-01-18,1.1550635786125205,0.3494012250717802,0.0820873197734462,0.104053598128768
2011-01-19,1.1530538383245306,0.42351679882192883,0.0821533741284457,0.1040344809987146
2011-01-20,1.1554390417203457,0.3699184902079047,0.0821751721144054,0.1039805625686965
2011-01-21,1.14622962623604,0.2896788619492163,0.082163108477447,0.103904089789029
2011-01-22,1.1356737805785455,0.4113741177679202,0.0821641943222075,0.1038759755509504
2011-01-23,1.1393080282471604,0.2516149711224287,0.0821434533850845,0.1038448414763815
2011-01-24,1.1259762232404262,0.378675293917631,0.0821180183075729,0.103804200137351
2011-01-25,1.133615271573275,0.425335135424433,0.0820806100250643,0.1037398270114189
2011-01-26,1.1327976179733779,0.30794235199571673,0.0819819006764129,0.1036238263897834
2011-01-27,1.133430852789248,0.3920178698483454,0.0819108718641548,0.1035263971736994
2011-01-28,1.1442972906096933,0.29638310817266955,0.0818746892544033,0.1034676559686633
2011-01-29,1.1438362783655172,0.23385337356850044,0.0818439252913367,0.1034335861491196
2011-01-30,1.1386239691736104,0.41910170080840103,0.081808641679259,0.1033702312817266
2011-01-31,1.1447990914419923,0.27163250839493003,0.0817626371324575,0.1032776423676654
