date,h2,delta_alpha
2011-01-01,1.0627725058916613,0.7150435800837371
2011-01-02,1.071293694750709,0.8584557279443423
2011-01-03,1.0819169098110542,0.8332639499590115
2011-01-04,1.054394351866551,0.9313038983909614
2011-01-05,1.0360925918670902,0.9995344250466314
2011-01-06,1.029273918392496,0.9738646504244404
2011-01-07,1.0082101172103075,0.9388389154303969
2011-01-08,1.0156205818787591,1.0035727511992167
2011-01-09,1.0166045579464,0.8907200666107311
2011-01-10,1.0288572763511936,0.9860637032153203
2011-01-11,1.036644359443899,0.9708593573465549
2011-01-12,1.0224632230552595,0.9969994792434083
2011-01-13,1.0190452046117673,0.98750548768834
2011-01-14,1.006068051314153,0.9361830963767375
2011-01-15,0.988537958819255,0.8399080486242134
2011-01-16,1.010052332736003,0.8673182610341215
2011-01-17,1.012204435583,0.7436294614733203
2011-01-18,1.018064492023363,0.8765504128604427
2011-01-19,1.0242995969956754,0.8529236719843585
2011-01-20,0.9954865480650613,0.9577509907526593
2011-01-21,0.9750763169361584,1.009448175127181
2011-01-22,0.9684231318281412,0.9829079354823254
2011-01-23,0.9514472226889424,0.9316892813221571
2011-01-24,0.9642208808606251,0.9909171180947531
2011-01-25,0.9703662863736188,0.8739632915342579
2011-01-26,0.9871202003871754,0.9735356335875309
2011-01-27,0.9986105108300917,0.9655041064275913
2011-01-28,0.9898027196519875,0.9972836052643999
2011-01-29,0.9925736238687121,0.9847623529294243
2011-01-30,0.9876717237517979,0.9451117303288115
2011-01-31,0.9784566787011363,0.8514185376591996
2011-02-01,1.0080808735626134,0.8810054057240979
2011-02-02,1.0178383703442606,0.7661806032756608
2011-02-03,1.0337266955783098,0.8882658195827329
2011-02-04,1.0501290113929413,0.8368069709515762
2011-02-05,1.0302703949639613,0.911380191905506
2011-02-06,1.0191579384902363,0.9426300901663875
2011-02-07,1.0201338541348537,0.8938403031880533
2011-02-08,1.0077637561365975,0.8401007127257678
2011-02-09,1.0217309428074108,0.9053926527679081
2011-02-10,1.0264884972364956,0.8096064062848995
2011-02-11,1.0415608869713007,0.9304667993615201
2011-02-12,1.050245385574776,0.9435349185129827
2011-02-13,1.0366884535566452,0.9945355599402586
2011-02-14,1.034736809538008,1.0173306741245103
2011-02-15,1.0266325847912485,0.9793884164287512
2011-02-16,1.0152376061999386,0.896205198990927
2011-02-17,1.0452822303778613,0.9136852441449221
2011-02-18,1.0576918262776296,0.7740168541164145
2011-02-19,1.0762572793312635,0.8852992228998744
2011-02-20,1.094750497907894,0.8240714978408796
2011-02-21,1.0762072584820184,0.8801920724167651
2011-02-22,1.0659710593618148,0.8931306565108557
2011-02-23,1.0676428717057467,0.8195671225689889
2011-02-24,1.0541254239449815,0.7579716285158042
2011-02-25,1.0669609297605436,0.807552397117437
2011-02-26,1.0689197324044521,0.6988477416519263
2011-02-27,1.0813167307442337,0.8100100834833022
2011-02-28,1.086770203861272,0.8087047070602509
2011-03-01,1.0701849464281408,0.8480976249457086
2011-03-02,1.0652783239731247,0.8615889194527444
2011-03-03,1.0541395820843669,0.8200528059523897
2011-03-04,1.0399616072567912,0.7524491082044573
2011-03-05,1.0668090078106114,0.7967915839002995
2011-03-06,1.0736549206987038,0.6878226715227846
2011-03-07,1.08488109763437,0.825314658781469
2011-03-08,1.0975570445677842,0.7937533627782187
2011-03-09,1.0744277233792376,0.889071305300865
2011-03-10,1.0574822582983405,0.9505661423085208
2011-03-11,1.0490651371773312,0.9244193883621215
2011-03-12,1.0302489629034712,0.8870965194985256
2011-03-13,1.033724070087336,0.950409261228705
2011-03-14,1.0334584517359118,0.8410335499358492
2011-03-15,1.0497784823941025,0.9413821609094377
2011-03-16,1.0617771929407944,0.9282764832925388
2011-03-17,1.0533777964566458,0.9594895954854348
2011-03-18,1.0546559540635405,0.9542063363747939
2011-03-19,1.0419429800940256,0.9021599630806652
2011-03-20,1.0302722287196853,0.8070575944250162
2011-03-21,1.0495437960770957,0.8324109061045846
2011-03-22,1.054640952603024,0.713327439279853
2011-03-23,1.068109112745824,0.847837295665288
2011-03-24,1.0838128176221586,0.8164377033059296
2011-03-25,1.068960999909928,0.9073133514365832
2011-03-26,1.0617075937346352,0.9602367779814642
2011-03-27,1.056397809472014,0.9124400195957598
2011-03-28,1.0438049385194723,0.8571762838068828
2011-03-29,1.0541650666453124,0.905452068309053
2011-03-30,1.061993743451447,0.7822177124884035
