date,h2,delta_alpha,kappa1,S_nta
2011-01-01,1.156139097534765,0.3283671139003097,0.0934930287806194,0.1106228521236385
2011-01-02,1.1653000591219715,0.30830208168006834,0.0935427384082255,0.1105704526907492
2011-01-03,1.1620625952021368,0.40562650101413666,0.0935738749009785,0.110545557924049
2011-01-04,1.173674687422117,0.42317901183923823,0.0935735968269371,0.1104339251038666
2011-01-05,1.1646525570964865,0.4138255957732433,0.0935828939030374,0.1103669666495199
2011-01-06,1.1587430773479437,0.45213516973415224,0.0935943409863435,0.1102898923217206
2011-01-07,1.160138815736285,0.2703968743988554,0.0936357895417688,0.1102471929412855
2011-01-08,1.1552225236364553,0.19071482118652483,0.0936883951654123,0.1101621066489835
2011-01-09,1.1631380720975135,0.27533016756210316,0.0937361178337166,0.1100817854114721
2011-01-10,1.1718167641588586,0.23452178007830682,0.0937587874644448,0.109973305709985
2011-01-11,1.1706957994427596,0.37474418265405873,0.0937642844933263,0.1098405228478719
2011-01-12,1.1844972795509656,0.4221847716662168,0.0938165868046047,0.1097847596036541
2011-01-13,1.1760825545323692,0.404419514275709,0.093824902595112,0.1096538896707943
2011-01-14,1.1721178042869445,0.44319946916850483,0.0938262987225547,0.1095164413664661
2011-01-15,1.1709254303641512,0.27329729127496094,0.0938424456203748,0.1093989239152184
2011-01-16,1.1586021878374804,0.2588944929828436,0.0938592645636902,0.1092816341801312
2011-01-17,1.1614240120228856,0.35507902972820204,0.093879124137061,0.1091633085089755
2011-01-18,1.167190191877904,0.33123152978348,0.0939065213308158,0.1090386100394681
2011-01-19,1.1589653856008029,0.4360315425373926,0.0939263097601464,0.108899308779195
2011-01-20,1.1649266470670603,0.46021345718853013,0.093933321353633,0.108711754607444
2011-01-21,1.1486544979191404,0.47009088359067874,0.0939116150322428,0.10852256330232
2011-01-22,1.1343361918963377,0.5293367769044899,0.0939445397984842,0.1084264970221069
2011-01-23,1.1288200250830993,0.3699060987385039,0.0939849207535476,0.1084086671384585
2011-01-24,1.1152933954784254,0.3046128111279991,0.0939699001047024,0.1083285092598843
2011-01-25,1.1144213145156767,0.39295304247020013,0.0939555947658504,0.1082295326766259
2011-01-26,1.1142582866741866,0.34911868295339943,0.0939138052374414,0.1081405792583795
2011-01-27,1.1054178177903056,0.48782025260171835,0.0938544954904282,0.1080288983365546
2011-01-28,1.1144041306014603,0.5166389184153566,0.0937856553251832,0.1079267245098888
2011-01-29,1.1062344703474132,0.47556678743966785,0.0936840984195647,0.1077762122998189
2011-01-30,1.1040694466439922,0.4950879810101583,0.0935963843338302,0.1076081403518516
2011-01-31,1.108139774098812,0.3157351378973843,0.0934541127315874,0.1073790532749274
2011-02-01,1.099648096131605,0.29233893326199833,0.0932531810189388,0.1071378401978242
2011-02-02,1.1077090567438113,0.3781766362485399,0.0930331559964528,0.1069208664608332
2011-02-03,1.1216772070605177,0.3398927973383046,0.0927999937587361,0.1066514954093332
2011-02-04,1.1181979113089635,0.43596745550842897,0.0926515398503282,0.1064307984093966
2011-02-05,1.126767392407227,0.5277841570248825,0.0925469655928576,0.1062404452642627
2011-02-06,1.1232905233059463,0.4756956239349037,0.0924687146006901,0.1060793535608091
2011-02-07,1.1199815862371976,0.5700067769217299,0.0924477856935407,0.1059952370651326
2011-02-08,1.1305352688073806,0.3829816007540323,0.0923915232406352,0.1058161391015179
2011-02-09,1.1343719095013514,0.2974363088050538,0.0923383713574281,0.1056802492087599
2011-02-10,1.1473296327751428,0.3604345175362198,0.0922917671228246,0.1055196134961845
2011-02-11,1.1596459976925304,0.26309237233948934,0.0922073860095646,0.1053186023048942
2011-02-12,1.1607044527366537,0.3656623492605675,0.0921324664999274,0.1051270042912482
2011-02-13,1.1734942503198555,0.4401974787576286,0.0920909529127884,0.1050203311195646
2011-02-14,1.1745428534261853,0.3249304982458696,0.0920934424689223,0.1049899127113752
2011-02-15,1.1759950647825594,0.3669114501616626,0.0920577338069016,0.1049399246362881
2011-02-16,1.1852786667480903,0.2383308505294548,0.0919824911585652,0.1047667008592396
2011-02-17,1.1828395150906148,0.19870840485340047,0.0919152717518926,0.1046291558870947
2011-02-18,1.1913991115745746,0.24756642980464205,0.0918830033173705,0.1045416949861123
2011-02-19,1.2009977989384821,0.22289529527386875,0.0918659000095152,0.1045029713634073
2011-02-20,1.1958138963509943,0.3402902148042166,0.0918904832025305,0.1044955525247605
2011-02-21,1.20342519766023,0.4275347315025826,0.0919523512599267,0.1045917188203747
2011-02-22,1.196618123961912,0.37701931200960104,0.0919966219786704,0.1046254080076932
2011-02-23,1.1903099113663984,0.4827130395581598,0.0919974112404507,0.1045612636154538
2011-02-24,1.1938266403261972,0.3065018828837509,0.0919721996324761,0.1044514762261273
2011-02-25,1.1889312778707704,0.23385874239815507,0.0919290775045121,0.1043019943038608
2011-02-26,1.1928559838094834,0.3162589453331215,0.0918655235905848,0.1041107089758247
2011-02-27,1.1975703604117425,0.24609143050407312,0.0918234666149113,0.1039617552743421
2011-02-28,1.1898637052283934,0.3820901753893011,0.0917296215744242,0.1037712008970356
2011-03-01,1.1921950804640684,0.49123518445525605,0.0916119661586689,0.1036221981570517
2011-03-02,1.1817142647989984,0.4092373201096038,0.0914911891988863,0.1035077589598516
2011-03-03,1.1742799220821551,0.4743171047304955,0.0913823190781294,0.1033961768625481
2011-03-04,1.1739822917880365,0.25591534954785544,0.0913061355872524,0.1033031654272582
2011-03-05,1.1634378677019104,0.23627595585504935,0.0912198293630955,0.103167163576514
2011-03-06,1.1660220984974103,0.34130150381094637,0.0911193025925083,0.1030065616006455
2011-03-07,1.1683156721334105,0.3197735021289212,0.0910485711506403,0.1028938716673532
2011-03-08,1.1613297434171552,0.4041977950999538,0.0910015140140999,0.1028456971743954
2011-03-09,1.165886548450999,0.46840487388436713,0.0909273192870392,0.1027143957996417
